"SN_APD_QA","QA_RESPONSE_CD","QA_RESPONSE_TXT"
"-79052","N/A",""
"-79053","N/A",""
"-79054","Y","GMG 290180"
"-79055","Y",""
"-79084","N",""
"-79085","Y",""
"-79086","N/A",""
"-79087","N/A",""
"-79088","Y","GMG290132"
"-79089","N/A",""
"-85932","Y",""
"-78408","Y","Permit has been submited on 
May 15, 2008"
"-78409","N/A",""
"-78524","Y",""
"-78525","Y","No hydrocarbon based drilling fluids are planned."
"-78526","N/A",""
"-78527","N/A",""
"-77901","N/A",""
"-78528","Y","GM290000"
"-78529","N","See attached waiver."
"-78610","Y",""
"-78611","Y","No hydrocarbon based drilling fluids are planned."
"-78612","Y",""
"-78613","N/A",""
"-78614","Y","GMG 290103"
"-78848","Y","Not yet assigned"
"-78849","N/A",""
"-87148","Y",""
"-87149","N/A",""
"-87150","Y",""
"-87151","N/A",""
"-87152","Y","GMG460000"
"-87153","N/A",""
"-87188","Y",""
"-87189","N/A",""
"-87190","N/A",""
"-87191","N/A",""
"-87192","Y","GMG290000"
"-87193","N/A",""
"-87234","Y","1000 sxs Barite and 200 sxs Gel."
"-87235","Y",""
"-87236","N/A",""
"-87237","N/A",""
"-87238","Y","Permit and Outfall Numbers are pending (included as attachment)."
"-87239","N/A",""
"-87328","Y",""
"-87329","Y",""
"-87330","N/A",""
"-87331","N/A",""
"-87332","Y","GMG 290180
NOI filed 1/14/08."
"-87333","N/A",""
"-87334","Y","200 sacks of gel and 313 sacks of barite will be maintained on the rig during drilling operations.  See Attachment ""ST 102 #01 Barite Sack Calculations"" for details."
"-87335","N/A",""
"-87336","N/A",""
"-87337","N",""
"-87338","Y","All drilling mud and cuttings will be discharged in compliance with the NPDES Permit No. GMG 290165.  No fluids containing free oil will be discharged.  Daily discharge rates will vary over the duration of the drilling process. Outfall Numbers and authority to discharge per NPDES Permit No. GMG 290165 for the ST 102 OCS-G 26092, Well No. 01 have been requested from EPA."
"-87339","N/A",""
"-87394","Y","Minimum Mud Quantities:
1000 sxs Barite and 200 sxs Gel"
"-87395","N/A",""
"-87396","N/A",""
"-85509","N/A",""
"-85510","Y","GMG 290180"
"-85511","Y",""
"-85578","Y","1000 sacks barite
200 sacks gel"
"-85579","Y",""
"-85580","N/A",""
"-85581","Y",""
"-85582","Y","GMG290255"
"-85583","N/A",""
"-85848","Y",""
"-85849","N/A",""
"-85850","Y","GMG 290185"
"-85851","N/A",""
"-85852","Y",""
"-85853","N/A",""
"-85846","Y",""
"-85847","N/A",""
"-86066","Y",""
"-86067","N/A",""
"-86068","N/A",""
"-86069","N/A",""
"-86070","Y","GMG 290110"
"-86071","N","Holstein has a waiver."
"-86887","N/A",""
"-86888","Y","EPA coverage under GMG 290006. Covers SBM."
"-86889","N/A",""
"-86898","Y","1000 sxs Barite and 200 sxs Gel."
"-86899","Y",""
"-86900","N/A",""
"-86901","N/A",""
"-86902","Y","Permit and Outfall Numbers are pending (included as attachment)."
"-86903","N/A",""
"-86944","Y",""
"-86945","Y",""
"-86946","Y",""
"-86947","Y","OPEN HOLE LOG & WELLBORE SURVEY DATA FOR CC-22 ATTACHED"
"-86948","Y","OUTFALL NO. 253A"
"-76392","N/A",""
"-76393","N/A",""
"-76394","Y","GMG290073"
"-76395","Y",""
"-76478","Y",""
"-76479","Y",""
"-76480","N/A",""
"-76481","N/A",""
"-76482","Y","GMG 290067"
"-76483","N/A",""
"-76484","Y",""
"-76485","Y",""
"-75022","Y",""
"-75023","N/A",""
"-75024","N/A",""
"-75025","N/A",""
"-75026","Y","NPDES GMG 290293"
"-75027","Y","While moving heavy equipment over the well bay."
"-76864","Y",""
"-76865","N/A",""
"-76866","Y",""
"-76867","N/A",""
"-76824","Y",""
"-76825","Y",""
"-76826","Y",""
"-76827","N/A",""
"-76828","Y","OUTFALL NO. 496A"
"-76829","Y",""
"-76868","Y","Submittal date of permit - 07/24/2008"
"-76869","N/A",""
"-77138","Y",""
"-77139","N/A",""
"-77140","N/A",""
"-77141","N/A",""
"-77142","Y","GMG290073"
"-77143","Y",""
"-77151","N/A",""
"-77152","N/A",""
"-78615","N/A",""
"-78665","N",""
"-78666","Y",""
"-78667","N/A",""
"-78668","Y","EPA coverage has been requested under GMG290006.  SBM is included in the request."
"-78669","N/A",""
"-78664","Y",""
"-78684","Y",""
"-78685","Y",""
"-78686","N/A",""
"-78687","N/A",""
"-78688","Y","GMG 290067"
"-78689","Y",""
"-78884","Y",""
"-78885","Y",""
"-78886","N/A",""
"-78887","N/A",""
"-78888","Y","GMG 290174"
"-76583","Y",""
"-76650","Y","1000 sxs of barite
200 sxs of gel"
"-76651","Y",""
"-76652","N/A",""
"-76653","Y","Requesting a waiver of the conductor casing.  JA-3 Log & directional attached."
"-75240","Y",""
"-75082","Y",""
"-75083","Y",""
"-75084","Y",""
"-75085","N/A",""
"-75086","Y","OUTFALL NO. 496A"
"-75087","Y",""
"-76654","Y","GMG290000"
"-75241","N/A","Water Base Mud"
"-75242","N/A",""
"-75243","N/A",""
"-75244","Y","GMG290015 060A/060T"
"-75245","Y","Shut in as required with heavy lifts"
"-76655","Y",""
"-87397","N/A",""
"-87398","Y","GMG290269
Outfall No. 023"
"-86330","Y","GMG 290067"
"-86331","N","currently on location "
"-86426","Y",""
"-86427","Y",""
"-86428","N/A",""
"-86429","N/A",""
"-86430","Y","GMG290180"
"-86431","Y",""
"-86478","Y",""
"-86479","N/A",""
"-86480","N/A",""
"-86481","N/A",""
"-86482","Y","See attached NOI for coverage under NPDES General Permit GMG 290000 submitted 09/30/08"
"-86483","N","No production equipment on platform, first well drilled off of platform."
"-86598","Y",""
"-86599","Y",""
"-86600","Y",""
"-86601","N/A",""
"-86602","Y","EPA NPDES GMG290184"
"-86603","N/A",""
"-86538","Y",""
"-86539","Y",""
"-86540","N/A",""
"-86541","N/A",""
"-86542","Y","GMG 290067"
"-86543","N/A","currently on location"
"-86618","Y","200 sacks gel, 1000 sacks barite"
"-86619","N/A",""
"-86620","N/A",""
"-86949","Y","Waiver Applied For."
"-87024","Y",""
"-87025","N/A",""
"-87026","N/A",""
"-87027","N/A",""
"-87028","Y","GMG 290185"
"-87029","Y",""
"-87094","Y","GMG 290180"
"-87095","Y",""
"-87108","Y",""
"-87109","Y",""
"-87110","N/A",""
"-87111","N/A",""
"-87090","Y",""
"-87091","N/A",""
"-87092","N/A",""
"-87093","N/A",""
"-106245","N/A",""
"-106240","Y","1000 sxs Barite
200 sxs Gel"
"-106241","N/A",""
"-106242","N/A",""
"-106243","N/A",""
"-85087","N/A",""
"-83328","Y","472 sxs Bartie and 200 sxs of gel will be maintained on rig during drilling operations."
"-83329","N/A",""
"-83330","N/A",""
"-83331","N/A",""
"-83332","Y","All drilliing mud discharges will be discharged in compliance with NPDES Permit No. G2900079.  No fluids containing free oil will discharged.  Daily discharge rates will vary over the duration of the drilling process.  EPA outfall numbers for EC 346, OCS-g 06655 are 91A,91T and 91S.  See attachment EPA NOI for documentation indicatiing ERT has applied with EPA for authorization to discharge Synthetic Base Mud (SBM) for Lease OCS-G 06655."
"-83333","Y",""
"-106246","Y",""
"-106247","N/A",""
"-106248","N/A",""
"-106249","N/A",""
"-106250","Y","GMG290328"
"-106244","Y","GMG No. 290331
Outfall No. 012"
"-76708","Y","EPA NPDES Permit No./Outfall No. Pending - See Attached NOI"
"-76744","Y",""
"-76745","N/A",""
"-76746","N/A",""
"-76747","N/A",""
"-76748","Y","GMG 290185"
"-76749","N/A",""
"-76709","N/A",""
"-78405","N/A",""
"-78406","Y",""
"-78407","N/A",""
"-78090","Y",""
"-75002","Y",""
"-75003","Y",""
"-75004","Y",""
"-75005","N/A",""
"-75006","Y","EPA General Permit GMG290096
Outfall No. pending EPA approval"
"-75007","N/A",""
"-75062","N",""
"-75063","Y",""
"-75064","N/A",""
"-75065","N/A",""
"-75066","Y","GMG290103"
"-75067","N/A",""
"-75068","Y","Will maintain 200 sacks of gel and 1000 sacks of barite."
"-75069","Y",""
"-75070","N/A",""
"-75071","Y","See attached conductor casing waiver."
"-75072","Y","GMG290132"
"-75073","N","See approved departure request from CFR 250.406(b).  All wells on ""L"" platform will be shut-in and the departure applies only to the wells on the bridge connected ""C"" platform."
"-75740","Y",""
"-75741","N/A",""
"-75742","N/A",""
"-75743","N/A",""
"-75744","Y","GMG 290061"
"-75745","N/A",""
"-76658","Y",""
"-76659","N/A",""
"-76660","Y",""
"-76661","N/A",""
"-76662","Y","EPA NPDES Permit GMG 290110"
"-76663","N","Waiver for platform"
"-75346","Y","1000 sxs barite, 200 sxs gel"
"-75347","Y",""
"-75348","N/A",""
"-75349","N/A",""
"-75350","Y","GMG290292"
"-75351","N/A",""
"-75420","Y",""
"-75421","N/A",""
"-75422","N/A",""
"-75423","N/A",""
"-75424","Y","GMG290000"
"-75425","N/A",""
"-75660","Y",""
"-75661","N/A",""
"-75662","N/A",""
"-75663","N/A",""
"-75664","Y","GMG 290000"
"-75665","N/A",""
"-75672","Y",""
"-75673","N/A","WBM"
"-75674","N/A",""
"-75675","N/A",""
"-75676","Y","GMG290174 "
"-75677","Y",""
"-58366","Y","GMG 290103"
"-58367","N/A",""
"-58416","Y","A minimum 571 sxs of barite and 200 sxs of gel will be maintained on the rig during drilling operations.  See Attachment ""SM 108 #08 Barite Sack Calculations"" for details."
"-58417","Y",""
"-66330","N/A",""
"-66331","N/A",""
"-66332","Y","All drilling mud and cuttings will be discharged in compliance with NPDES Permit No. GMG290188.  No fluids containing free oil will be discharged.  Daily discharge rates will vary over the duration of the drilling process.  Outfall numbers for discharges associated with  EW 306 Well #12ST03 (surface EW 305) are 57A and 57T."
"-66333","Y",""
"-66416","Y","Minimum of 1000 sacks barite and 200 sacks gel."
"-66417","Y",""
"-66418","N/A",""
"-66419","N/A",""
"-66420","Y","Permit No. GMG 290165"
"-66421","N/A",""
"-66556","Y",""
"-66557","Y",""
"-66558","N/A",""
"-66559","N/A",""
"-66560","Y","GMG290067"
"-67990","N/A",""
"-67991","N/A",""
"-67992","Y","GMG290073"
"-67993","Y",""
"-68088","Y","200 sxs gel
1000 sxs barite"
"-68089","N/A",""
"-68090","N/A",""
"-68091","N/A",""
"-68092","Y","GMG 290067"
"-68093","Y","Using a platform rig.  Wells will be shut in for any heavy lifts over the well bay."
"-68095","N/A",""
"-68096","Y",""
"-68097","N/A",""
"-68098","Y","GMG290164/Outfall No. Pending"
"-68099","N/A",""
"-68108","Y",""
"-68094","Y","Minimum of 1000sxs. Barite and 200sxs. Gel"
"-68109","Y",""
"-68110","Y",""
"-68111","N/A",""
"-59234","Y",""
"-59235","Y",""
"-59236","Y",""
"-59237","N/A",""
"-59238","Y","Outfall # 421A"
"-54634","Y",""
"-54635","N/A",""
"-54636","N/A",""
"-54637","N/A",""
"-54638","Y","GMG290073"
"-54639","Y",""
"-54640","Y",""
"-54641","N/A",""
"-54642","N/A",""
"-54643","N/A",""
"-54644","Y","GMG290297"
"-54645","N/A",""
"-55309","N/A",""
"-55310","N/A",""
"-55311","N/A",""
"-55312","Y","290089"
"-55313","N","See Waiver Attachment"
"-55234","Y",""
"-55268","Y","439 sxs of barite and 200 sxs of gel will be maintained on the rig during drilling operations.  See Attachment ""Barite Sack."
"-55235","N/A",""
"-55236","N/A",""
"-55237","N/A",""
"-55238","Y","GMG290124"
"-55239","Y",""
"-55783","N/A",""
"-55784","Y","GMG290077; Outfall No. 023"
"-55785","N/A",""
"-57461","N/A",""
"-57462","Y","GMG290180: Outfall No. 119T/119A

Zone Protection Statement:  All hydrocarbon bearing zones will be cased and/or isolated with cement.

Mud Disposal Statement:  Drilling mud which meets EPA criteria will be returned to a mud company or disposed of at the well sight by discharging from the rig into the Gulf.					
All mud which meets EPA criteria will be caught and hauled to shore for disposal to an approved disposal sight.
"
"-57463","N/A",""
"-57460","N/A",""
"-56553","N/A",""
"-56554","Y",""
"-56555","N/A",""
"-56556","Y","GMG290091"
"-56557","N/A",""
"-56012","Y",""
"-56013","N/A",""
"-56014","N/A",""
"-56015","N/A",""
"-56016","Y","GMG290073"
"-56017","Y",""
"-56552","Y",""
"-56772","Y",""
"-56773","Y",""
"-56774","Y",""
"-56775","N/A",""
"-56776","Y","Outfall No. 178A"
"-56777","N","See Heavy Lift Haz-Ops Waiver"
"-56792","Y","1000 sxs barite, 200 sxs gel"
"-56793","Y","All cuttings an dmud containing oil will be shipped to shore for disposal."
"-56794","N/A",""
"-56795","N/A",""
"-56796","Y","GMG 290175"
"-56797","N/A",""
"-56832","Y",""
"-56833","N/A",""
"-56834","N/A",""
"-56835","N/A",""
"-58418","N/A",""
"-58419","N/A",""
"-58420","Y","All drilling mud and cuttings will be discharged in compliance with NPDES Permit No. GMG290188.  No fluids containing free oil will be discharged.  Daily discharge rates will vary over the duration of the drilling process.  Outfall numbers for discharges associated with  SM 108 Well #08 are 60A and 60T."
"-58421","N/A",""
"-58470","Y",""
"-58471","N/A",""
"-58472","N/A",""
"-58473","N/A",""
"-58474","Y","GMG290073"
"-58475","Y",""
"-58530","Y","1246 sxs of barite and 200 sxs of gel will be maintained on the rig during drilling operations.  See Attachment ""Barite Sack Calculations."""
"-58531","Y",""
"-58532","N/A",""
"-58533","N/A",""
"-58534","Y","All drilling mud and cuttings will be discharged in compliance with the NPDES Permit No. GMG 290079.  No fluids containing free oil will be discharged.  Daily discharge rates will vary over the duration of the drilling process.  EPA outfall discharge numbers for GB  344, Lease OCS-g 08232 are 72A, & 72T."
"-58535","N/A",""
"-58769","Y",""
"-58770","N/A",""
"-58771","N/A",""
"-58772","Y","GMG 290185"
"-58773","N/A",""
"-58646","Y",""
"-58647","N/A",""
"-58648","N/A",""
"-58649","N/A",""
"-58768","Y","Minimum 1000 sacks barite and 200 sacks gel."
"-56238","Y",""
"-56239","Y",""
"-56240","Y",""
"-56241","N/A",""
"-56242","Y","OUTFALL NO. 143B"
"-56243","Y",""
"-56244","Y","1000 sxs barite, 200 sxs gel"
"-68112","Y","GMG290184
Outfall #119S"
"-68113","N/A",""
"-68168","Y","1000 sxs barite, 200 sxs gel"
"-68169","N/A",""
"-68170","Y",""
"-68171","N/A",""
"-68172","Y","GMG 290024"
"-68173","N/A",""
"-68188","Y",""
"-68189","N/A",""
"-68190","N/A",""
"-68191","N/A",""
"-68192","Y","GMG290073"
"-68193","Y",""
"-68208","Y","Will maintain 200 sacks of gel and 1000 sacks of barite."
"-68209","Y",""
"-68210","N/A",""
"-68694","Y","Will maintain 200 sacks of gel and 1000 sacks of barite."
"-68695","Y",""
"-68696","N/A",""
"-68697","N/A",""
"-68698","Y","GMG290132"
"-68699","N/A",""
"-68815","Y",""
"-68816","N/A",""
"-68817","N/A",""
"-68818","Y","GMG 290180
NOI filed 1/14/08."
"-68819","N/A",""
"-68693","N/A",""
"-68728","Y","Min. mud materials will be maintained on lcation at all times while drilling operations are being performed: 

Barite: 1000 sxs
Gel: 200 sxs"
"-68729","N",""
"-68730","N/A",""
"-68731","N/A",""
"-68732","Y","Please see attached Notice of Intent."
"-68733","N/A","Single well - no platform installed "
"-68748","N","1000 sacks of mud and barite will be kept onboard at all times."
"-59921","Y",""
"-59922","Y",""
"-59923","N/A",""
"-59924","Y","GMG 290005 386 A/T/S approved for synthetics."
"-59925","N/A",""
"-60200","Y","Miniumum of 1000 sacks barite and 200 sacks gel."
"-60201","Y",""
"-60202","N",""
"-60203","N/A",""
"-60204","Y","Permit No. GMG290165"
"-60205","N/A",""
"-60260","Y","553 sxs of Barite, 200 sxs of Gel will be maintained on rig during drilling operations.  See attachment Barite Sack Calculations."
"-60261","Y",""
"-60262","N/A",""
"-60263","N/A",""
"-60264","Y","Application to EPA for approval to discharge for Block MU 736, Lease OCS G-27473 filed 07/08/07.  Outfall no. pending. See attachment EPA letter for details."
"-60265","N/A",""
"-58110","Y",""
"-56592","Y","A minimum of 1000 sxs Barite and 200 sxs gel will be maintained on MODU during drilling operations."
"-56593","Y",""
"-56594","N/A",""
"-56595","N/A",""
"-56596","Y","GMG290330 Outfall No. 003."
"-56597","N/A",""
"-58111","Y",""
"-58112","Y",""
"-58113","N",""
"-58114","Y","GMG290070"
"-58115","N/A",""
"-56836","Y","GMG 290061"
"-56837","N/A",""
"-57961","N/A",""
"-58134","Y",""
"-58135","N/A",""
"-58136","N/A",""
"-58137","N/A",""
"-58138","Y","GMG 290110, Outfall #649 A,T,S"
"-58139","N/A",""
"-55154","Y","200 sxs gel
1000 sxs barite"
"-55155","N/A",""
"-55156","N/A",""
"-55157","N/A",""
"-55158","Y","GMG 290292"
"-55159","Y",""
"-55695","Y",""
"-55696","Y",""
"-55697","N/A",""
"-55698","Y","GMG 290006 - 386 A/T/S
approved for synthetics"
"-55699","N/A",""
"-55740","Y",""
"-55688","Y",""
"-55689","N/A",""
"-55690","N/A",""
"-55691","N/A",""
"-55692","Y","GMG 460769"
"-55693","N/A",""
"-55694","Y",""
"-55741","Y","Below 15,000'"
"-55742","N/A",""
"-55743","N/A",""
"-55744","Y","GMG 290110, Outfall 778 B, R, Y"
"-55745","N/A",""
"-55746","Y","200 sxs gel
1000 sxs barite"
"-55747","N/A",""
"-55748","N/A",""
"-55749","N/A",""
"-56245","Y","All cuttings an dmud containing oil will be shipped to shore for disposal."
"-56246","N/A",""
"-56247","N/A",""
"-56248","Y","GMG 290175"
"-56249","N/A",""
"-57277","Y",""
"-57278","N/A",""
"-57279","N/A",""
"-57280","Y","GMG 290166"
"-57281","Y",""
"-57324","Y",""
"-57325","N/A",""
"-57326","Y",""
"-57327","N/A",""
"-57328","Y","GMG 290185"
"-57329","N/A",""
"-57784","Y","Will maintain 200 sacks of gel and 1000 sacks of barite."
"-57785","N/A",""
"-57786","N/A",""
"-57787","Y","Copy of Conductor Waiver attached."
"-57788","Y","All discharges covered by our NPDES Permit GMG 290132"
"-57789","Y",""
"-57782","Y","GMG290000"
"-57783","Y",""
"-57790","Y","335 sxs of barite and 200 sxs of gel will be on the rig during drilling operations. See Supplemental Attachment ""EC 316 #2 Barite Sxs Calculations"" for details."
"-57791","N/A",""
"-57792","N/A",""
"-57793","N/A","The 13 3/8"" csg string will be considered Conductor/Surface casing.  BOP's will be nippled up on the casing and tested.  A F.I.T will be conducted prior to drilling the next hole interval."
"-56972","Y",""
"-56973","N/A",""
"-56974","N/A",""
"-56975","N/A",""
"-56976","Y","GMG 290061"
"-56977","N/A",""
"-57012","Y",""
"-68749","N/A",""
"-68750","Y",""
"-68751","N",""
"-68752","Y","GMG290058 Out fall 955A -NPDES coverage including SBM"
"-68753","N/A",""
"-68768","Y",""
"-68769","Y",""
"-68770","N/A",""
"-68771","N/A",""
"-68772","Y","GMG 290185"
"-68773","N/A",""
"-68788","Y",""
"-68789","N/A",""
"-68790","N/A",""
"-68791","N/A",""
"-68792","Y","GMG290073"
"-68814","Y",""
"-68862","Y",""
"-68863","N/A",""
"-68864","Y","GMG290070"
"-68865","N/A",""
"-68866","Y",""
"-68834","Y","200 sxs gel
1000 sxs barite"
"-68835","Y",""
"-68836","N/A",""
"-68837","N/A",""
"-68838","Y","GMG 290067"
"-68839","N/A",""
"-68867","Y",""
"-68868","Y",""
"-68869","N/A",""
"-68870","Y","OUTFALL NO. 496A"
"-68871","Y",""
"-68898","Y",""
"-68899","Y",""
"-68900","Y",""
"-68901","N/A",""
"-68902","Y","GMG290061"
"-55314","Y","1000 Sacks Barite
200 sacks Gel"
"-55269","N/A",""
"-55270","N/A",""
"-55271","N/A",""
"-55272","Y","All drilling mud and cuttings will be discharged in compliance with the NPDES Permit No. GMG 290079.  No fluids containing free oil will be discharged.  Daily discharge rates will vary over the duration of the drilling process.  EPA outfall discharge numbers fo rWC 215, Lease OCS-G 04087 are 58A, & 58T."
"-55273","Y",""
"-55308","Y",""
"-55315","N/A",""
"-55316","N/A",""
"-55317","N/A",""
"-55318","Y","GMG 290002"
"-55319","Y",""
"-55128","Y","Minimum of 1000 sacks barite and 200 sacks gel."
"-55129","N/A",""
"-55130","N/A",""
"-55131","N/A",""
"-55132","Y","Permit No. GMG 290165"
"-55133","N/A",""
"-55966","Y","See mud program"
"-55967","N/A",""
"-55968","N/A",""
"-55969","N/A",""
"-55970","Y","GMG290208"
"-55971","N/A",""
"-55986","Y",""
"-55987","N/A",""
"-55988","N/A",""
"-55989","N/A",""
"-55990","Y","GMG 290185"
"-55991","Y",""
"-61164","N/A",""
"-61165","N/A",""
"-61166","Y","GMG290000
OUTFALL #445A"
"-61167","N","DEPARTURE REQUEST TO NTL 2004-G09 SUBMITTED. ""YES"" IF DEPARTURE REQUEST DENIED."
"-61176","Y",""
"-55750","Y","GMG 290201"
"-55751","N/A",""
"-55840","Y",""
"-55841","N/A",""
"-55842","N/A",""
"-55843","N/A",""
"-55844","Y","GMG290297"
"-55845","N/A",""
"-55892","Y","1000 Sacks Barite
200 sacks Gel"
"-54648","Y",""
"-54649","N/A",""
"-54650","N/A",""
"-54651","Y",""
"-54652","Y","GMG 290126"
"-54653","Y",""
"-54668","Y",""
"-54669","N",""
"-54670","Y",""
"-54671","N/A",""
"-54672","Y","EPA Outfall 283A Permit GMG 290058
KMG also has OSFR coverage for this block"
"-54673","N/A",""
"-54774","Y",""
"-54775","Y",""
"-54776","N/A",""
"-54777","N/A",""
"-54778","Y","GMG 290126"
"-54779","N/A",""
"-55295","N/A",""
"-55296","N/A",""
"-55297","N/A",""
"-55298","Y","All drilling mud and cuttings will be discharged in compliance with the NPDES Permit No. GMG 290079.  No fluids containing free oil will be discharged.  Daily discharge rates will vary over the duration of the drilling process.  EPA outfall discharge numbers for ST 86, Lease OCS-00605 are 72A, & 72T."
"-55299","Y",""
"-56066","Y",""
"-55088","Y","A minimum of 1000 sxs Barite and 200 sxs gel will be maintained on MODU during drilling operations."
"-55089","Y",""
"-55090","N/A",""
"-57013","Y","No hydrocarbon based drilling fluids are planned."
"-57014","Y",""
"-57015","N/A",""
"-57016","Y","GMG 290103"
"-57017","N/A",""
"-58789","N/A",""
"-58790","N/A",""
"-58791","N/A",""
"-58792","Y","GMG290073"
"-58793","Y",""
"-57578","Y",""
"-57579","Y",""
"-57580","Y",""
"-57581","N",""
